adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,belongs_to_collection,budget,genres,homepage,imdb_id,origin_country,production_companies,production_countries,revenue,runtime,spoken_languages,status,tagline,is_marvel
False,/lAs4Y5a8Pi86xDwuv8cx2prOVI2.jpg,"[12, 10751, 14, 10749]",447277,en,The Little Mermaid,"The youngest of King Triton’s daughters, and the most defiant, Ariel longs to find out more about the world beyond the sea, and while visiting the surface, falls for the dashing Prince Eric. With mermaids forbidden to interact with humans, Ariel makes a deal with the evil sea witch, Ursula, which gives her a chance to experience life on land, but ultimately places her life – and her father’s crown – in jeopardy.",8.7108,/ym1dxyOk4jFcSl4Q2zmRrA5BEEN.jpg,2023-05-18,The Little Mermaid,False,6.277,3246,,297000000,"['Adventure', 'Family', 'Fantasy', 'Romance']",https://movies.disney.com/the-little-mermaid-2023,tt5971474,['US'],"['Walt Disney Pictures', 'Lucamar Productions', 'Marc Platt Productions']",['United States of America'],569626289,135,['English'],Released,"Watch and you'll see, some day I'll be, part of your world!",false
False,/p5ozvmdgsmbWe0H8Xk7Rc8SCwAB.jpg,"[16, 12, 35, 10751]",1022789,en,Inside Out 2,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",19.7012,/vpnVM9B6NMmQpWeZvzLvDESb2QY.jpg,2024-06-11,Inside Out 2,False,7.547,6475,Inside Out Collection,200000000,"['Animation', 'Adventure', 'Comedy', 'Family']",https://movies.disney.com/inside-out-2,tt22022452,['US'],['Pixar'],['United States of America'],1698863816,97,['English'],Released,Make room for new emotions.,false
False,/ufpeVEM64uZHPpzzeiDNIAdaeOD.jpg,"[28, 35, 878]",533535,en,Deadpool & Wolverine,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",22.6059,/8cdWjvZQUExUUTzyp4t6EDMubfO.jpg,2024-07-24,Deadpool & Wolverine,False,7.557,8293,Deadpool Collection,200000000,"['Action', 'Comedy', 'Science Fiction']",https://www.marvel.com/movies/deadpool-and-wolverine,tt6263850,['US'],"['Marvel Studios', 'Maximum Effort', '21 Laps Entertainment', '20th Century Studios', 'Kevin Feige Productions', 'TSG Entertainment']",['United States of America'],1338073645,128,['English'],Released,Come together.,true
False,/zo8CIjJ2nfNOevqNajwMRO6Hwka.jpg,"[16, 12, 10751, 35, 14]",1241982,en,Moana 2,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",18.4197,/aLVkiINlIeCkcZIzb7XHzPYgO6L.jpg,2024-11-21,Moana 2,False,7.0,2946,Moana Collection,150000000,"['Animation', 'Adventure', 'Family', 'Comedy', 'Fantasy']",https://movies.disney.com/moana-2,tt13622970,['US'],"['Walt Disney Animation Studios', 'Walt Disney Animation Studios']","['Canada', 'United States of America']",1059242164,100,['English'],Released,The ocean is calling them back.,false
False,/twsxsfao6ZOVvT8LfudH603MMi6.jpg,"[10751, 35, 16, 878, 28]",519182,en,Despicable Me 4,"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.",15.987,/wWba3TaojhK7NdycRhoQpsG0FaH.jpg,2024-06-20,Despicable Me 4,False,6.994,3079,Despicable Me Collection,100000000,"['Family', 'Comedy', 'Animation', 'Science Fiction', 'Action']",https://www.despicable.me,tt7510222,['US'],"['Universal Pictures', 'Illumination']",['United States of America'],969597394,94,['English'],Released,Things just got a little more despicable.,false
False,/fyZ6SDUS4o9jp2EHxfZa3qS9ean.jpg,"[18, 10749, 14]",402431,en,Wicked,"In the land of Oz, ostracized and misunderstood green-skinned Elphaba is forced to share a room with the popular aristocrat Glinda at Shiz University, and the two's unlikely friendship is tested as they begin to fulfill their respective destinies as Glinda the Good and the Wicked Witch of the West.",16.6802,/xDGbZ0JJ3mYaGKy4Nzd9Kph6M9L.jpg,2024-10-16,Wicked,False,6.918,2876,Wicked Collection,150000000,"['Drama', 'Romance', 'Fantasy']",https://www.wickedmovie.com,tt1262426,['US'],"['Universal Pictures', 'Marc Platt Productions']",['United States of America'],758737211,162,['English'],Released,Everyone deserves the chance to fly.,false
False,/1w8kutrRucTd3wlYyu5QlUDMiG1.jpg,"[12, 10751, 16]",762509,en,Mufasa: The Lion King,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",11.0775,/lurEK87kukWNaHd0zYnsi3yzJrs.jpg,2024-12-18,Mufasa: The Lion King,False,7.314,2532,The Lion King (Reboot) Collection,200000000,"['Adventure', 'Family', 'Animation']",https://movies.disney.com/mufasa-the-lion-king,tt13186482,['US'],['Walt Disney Pictures'],['United States of America'],722631756,118,['English'],Released,The story of an orphan who would be king.,false
False,/ylkdrn23p3gQcHx7ukIfuy2CkTE.jpg,"[878, 12]",693134,en,Dune: Part Two,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",22.2359,/1pdfLvkbY9ohJlCjQH2CZjjYVvJ.jpg,2024-02-27,Dune: Part Two,False,8.13,7549,Dune Collection,190000000,"['Science Fiction', 'Adventure']",https://www.dunemovie.com,tt15239678,['US'],['Legendary Pictures'],['United States of America'],714844358,167,['English'],Released,Long live the fighters.,false
False,/gvLG3Fnznkxl4SmYfcK8gUuqxM8.jpg,"[28, 12, 878]",823464,en,Godzilla x Kong: The New Empire,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.",15.03,/z1p34vh7dEOnLDmyCrlUVLuoDzd.jpg,2024-03-27,Godzilla x Kong: The New Empire,False,7.052,4515,Godzilla x Kong Collection,150000000,"['Action', 'Adventure', 'Science Fiction']",https://www.godzillaxkongmovie.com,tt14539740,['US'],['Legendary Pictures'],['United States of America'],571750016,115,['English'],Released,Rise together or fall alone.,false
False,/3ffPx9jqg0yj9y1KWeagT7D20CB.jpg,"[16, 10751, 28, 35, 12, 14]",1011985,en,Kung Fu Panda 4,"Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past.",11.7641,/kDp1vUBnMpe8ak4rjgl3cLELqjU.jpg,2024-03-02,Kung Fu Panda 4,False,7.004,3384,Kung Fu Panda Collection,80000000,"['Animation', 'Family', 'Action', 'Comedy', 'Adventure', 'Fantasy']",https://www.dreamworks.com/movies/kung-fu-panda-4,tt21692408,['US'],['DreamWorks Animation'],['United States of America'],548040835,94,['English'],Released,,false
